cas_rn,analyte_name,synonym,synonym_normalized
27154-44-5,Gamma-hexachloro-cyclohexane,Gamacid,gamacid
27154-44-5,Gamma-hexachloro-cyclohexane,Hortex,hortex
27154-44-5,Gamma-hexachloro-cyclohexane,Jacutin,jacutin
27154-44-5,Gamma-hexachloro-cyclohexane,Lendine,lendine
27154-44-5,Gamma-hexachloro-cyclohexane,Lentox,lentox
27154-44-5,Gamma-hexachloro-cyclohexane,Lidenal,lidenal
27154-44-5,Gamma-hexachloro-cyclohexane,Lindex,lindex
27154-44-5,Gamma-hexachloro-cyclohexane,Lintox,lintox
27154-44-5,Gamma-hexachloro-cyclohexane,Linvur,linvur
27154-44-5,Gamma-hexachloro-cyclohexane,Mszycol,mszycol
27154-44-5,Gamma-hexachloro-cyclohexane,Omnitox,omnitox
27154-44-5,Gamma-hexachloro-cyclohexane,Scabene,scabene
27154-44-5,Gamma-hexachloro-cyclohexane,Bexol,bexol
27154-44-5,Gamma-hexachloro-cyclohexane,Nexit,nexit
27154-44-5,Gamma-hexachloro-cyclohexane,Viton,viton
27154-44-5,Gamma-hexachloro-cyclohexane,alpha-Lindane,alpha-lindane
27154-44-5,Gamma-hexachloro-cyclohexane,"Beta-1,2,3,4,5,6-hexachlorocyclohexane","beta-1,2,3,4,5,6-hexachlorocyclohexane"
27154-44-5,Gamma-hexachloro-cyclohexane,Hcch,hcch
27154-44-5,Gamma-hexachloro-cyclohexane,319-86-8,319-86-8
27154-44-5,Gamma-hexachloro-cyclohexane,Agrocide WP,agrocide wp
27154-44-5,Gamma-hexachloro-cyclohexane,Agrocide III,agrocide iii
27154-44-5,Gamma-hexachloro-cyclohexane,ALPHA-HEXACHLOROCYCLOHEXANE,alpha-hexachlorocyclohexane
27154-44-5,Gamma-hexachloro-cyclohexane,Ben-Hex,ben-hex
27154-44-5,Gamma-hexachloro-cyclohexane,Ameisentod,ameisentod
27154-44-5,Gamma-hexachloro-cyclohexane,Benhexol,benhexol
27154-44-5,Gamma-hexachloro-cyclohexane,Heclotox,heclotox
27154-44-5,Gamma-hexachloro-cyclohexane,Lasochron,lasochron
27154-44-5,Gamma-hexachloro-cyclohexane,Lindatox,lindatox
27154-44-5,Gamma-hexachloro-cyclohexane,Gammalin 20,gammalin 20
27154-44-5,Gamma-hexachloro-cyclohexane,Neo-scabicidol,neo-scabicidol
27154-44-5,Gamma-hexachloro-cyclohexane,gamma-Lindane,gamma-lindane
27154-44-5,Gamma-hexachloro-cyclohexane,Nexit-stark,nexit-stark
27154-44-5,Gamma-hexachloro-cyclohexane,Bentox 10,bentox 10
27154-44-5,Gamma-hexachloro-cyclohexane,Milbol 49,milbol 49
27154-44-5,Gamma-hexachloro-cyclohexane,Nexen fb,nexen fb
27154-44-5,Gamma-hexachloro-cyclohexane,alpha-BHC,alpha-bhc
27154-44-5,Gamma-hexachloro-cyclohexane,"gamma-1,2,3,4,5,6-Hexachlorocyclohexane","gamma-1,2,3,4,5,6-hexachlorocyclohexane"
27154-44-5,Gamma-hexachloro-cyclohexane,Nexol-E,nexol-e
27154-44-5,Gamma-hexachloro-cyclohexane,DOL GRANULE,dol granule
27154-44-5,Gamma-hexachloro-cyclohexane,Gamacarbatox,gamacarbatox
27154-44-5,Gamma-hexachloro-cyclohexane,Lindagrain,lindagrain
27154-44-5,Gamma-hexachloro-cyclohexane,Lindagranox,lindagranox
27154-44-5,Gamma-hexachloro-cyclohexane,Lindapoudre,lindapoudre
27154-44-5,Gamma-hexachloro-cyclohexane,Spruehpflanzol,spruehpflanzol
27154-44-5,Gamma-hexachloro-cyclohexane,Agronexit,agronexit
27154-44-5,Gamma-hexachloro-cyclohexane,Esoderm,esoderm
27154-44-5,Gamma-hexachloro-cyclohexane,Gallogama,gallogama
27154-44-5,Gamma-hexachloro-cyclohexane,Gamaphex,gamaphex
27154-44-5,Gamma-hexachloro-cyclohexane,Gammexane,gammexane
27154-44-5,Gamma-hexachloro-cyclohexane,Geobilan,geobilan
27154-44-5,Gamma-hexachloro-cyclohexane,Hexatox,hexatox
27154-44-5,Gamma-hexachloro-cyclohexane,Hilbeech,hilbeech
27154-44-5,Gamma-hexachloro-cyclohexane,Lindagam,lindagam
27154-44-5,Gamma-hexachloro-cyclohexane,Novigam,novigam
27154-44-5,Gamma-hexachloro-cyclohexane,Silvanol,silvanol
27154-44-5,Gamma-hexachloro-cyclohexane,Gamiso,gamiso
27154-44-5,Gamma-hexachloro-cyclohexane,Inexit,inexit
27154-44-5,Gamma-hexachloro-cyclohexane,Isotox,isotox
27154-44-5,Gamma-hexachloro-cyclohexane,Lindan,lindan
27154-44-5,Gamma-hexachloro-cyclohexane,"alpha-1,2,3,4,5,6-Hexachlorocyclohexane","alpha-1,2,3,4,5,6-hexachlorocyclohexane"
27154-44-5,Gamma-hexachloro-cyclohexane,gamma-col,gamma-col
27154-44-5,Gamma-hexachloro-cyclohexane,Spritz-rapidin,spritz-rapidin
27154-44-5,Gamma-hexachloro-cyclohexane,Forst-nexen,forst-nexen
27154-44-5,Gamma-hexachloro-cyclohexane,Sang gamma,sang gamma
27154-44-5,Gamma-hexachloro-cyclohexane,DELTA-HEXACHLOROCYCLOHEXANE,delta-hexachlorocyclohexane
27154-44-5,Gamma-hexachloro-cyclohexane,Mglawik L,mglawik l
27154-44-5,Gamma-hexachloro-cyclohexane,Agrocide 7,agrocide 7
27154-44-5,Gamma-hexachloro-cyclohexane,Hungaria L7,hungaria l7
27154-44-5,Gamma-hexachloro-cyclohexane,(+)-alpha-HCH,(+)-alpha-hch
27154-44-5,Gamma-hexachloro-cyclohexane,6108-10-7,6108-10-7
27154-44-5,Gamma-hexachloro-cyclohexane,Ameisenmittel merck,ameisenmittel merck
27154-44-5,Gamma-hexachloro-cyclohexane,TRI-6,tri-6
27154-44-5,Gamma-hexachloro-cyclohexane,Spritzlindane,spritzlindane
27154-44-5,Gamma-hexachloro-cyclohexane,Lindanum,lindanum
27154-44-5,Gamma-hexachloro-cyclohexane,Lindano,lindano
27154-44-5,Gamma-hexachloro-cyclohexane,delta-Lindane,delta-lindane
27154-44-5,Gamma-hexachloro-cyclohexane,Geolin G 3,geolin g 3
27154-44-5,Gamma-hexachloro-cyclohexane,Verindal ultra,verindal ultra
27154-44-5,Gamma-hexachloro-cyclohexane,TAP 85,tap 85
27154-44-5,Gamma-hexachloro-cyclohexane,Detox 25,detox 25
27154-44-5,Gamma-hexachloro-cyclohexane,alpha-Hexachlorane,alpha-hexachlorane
27154-44-5,Gamma-hexachloro-cyclohexane,Agrocide 6G,agrocide 6g
27154-44-5,Gamma-hexachloro-cyclohexane,Hexachlorcyclohexan,hexachlorcyclohexan
27154-44-5,Gamma-hexachloro-cyclohexane,Drilltox-Spezial Aglukon,drilltox-spezial aglukon
27154-44-5,Gamma-hexachloro-cyclohexane,gamma Benzene hexachloride,gamma benzene hexachloride
27154-44-5,Gamma-hexachloro-cyclohexane,gamma-Benzene hexachloride,gamma-benzene hexachloride
27154-44-5,Gamma-hexachloro-cyclohexane,Hexachlorocyclohexanes,hexachlorocyclohexanes
27154-44-5,Gamma-hexachloro-cyclohexane,Gammallin,gammallin
27154-44-5,Gamma-hexachloro-cyclohexane,Gammaxene,gammaxene
27154-44-5,Gamma-hexachloro-cyclohexane,Detmol-extrakt,detmol-extrakt
27154-44-5,Gamma-hexachloro-cyclohexane,gamma-Hexachlorobenzene,gamma-hexachlorobenzene
27154-44-5,Gamma-hexachloro-cyclohexane,.delta.-Hexachlorocyclohexane,.delta.-hexachlorocyclohexane
27154-44-5,Gamma-hexachloro-cyclohexane,.alpha.-Lindane,.alpha.-lindane
27154-44-5,Gamma-hexachloro-cyclohexane,.delta.-Lindane,.delta.-lindane
27154-44-5,Gamma-hexachloro-cyclohexane,beta-Benzene hexachloride,beta-benzene hexachloride
27154-44-5,Gamma-hexachloro-cyclohexane,"ENT 9,234","ent 9,234"
27154-44-5,Gamma-hexachloro-cyclohexane,gamma-HCH or gamma-BHC,gamma-hch or gamma-bhc
27154-44-5,Gamma-hexachloro-cyclohexane,alpha-Benzene hexachloride,alpha-benzene hexachloride
27154-44-5,Gamma-hexachloro-cyclohexane,delta-Benzene hexachloride,delta-benzene hexachloride
27154-44-5,Gamma-hexachloro-cyclohexane,C6H6Cl6,c6h6cl6
27154-44-5,Gamma-hexachloro-cyclohexane,.alpha.-BHC,.alpha.-bhc
27154-44-5,Gamma-hexachloro-cyclohexane,.delta.-BHC,.delta.-bhc
27154-44-5,Gamma-hexachloro-cyclohexane,HCH,hch
27154-44-5,Gamma-hexachloro-cyclohexane,"ENT 7,796","ent 7,796"
27154-44-5,Gamma-hexachloro-cyclohexane,"ENT 9,232","ent 9,232"
27154-44-5,Gamma-hexachloro-cyclohexane,Latka 666,latka 666
27154-44-5,Gamma-hexachloro-cyclohexane,gamma-Hexachlorzyklohexan,gamma-hexachlorzyklohexan
27154-44-5,Gamma-hexachloro-cyclohexane,Latka 666 [Czech],latka 666 [czech]
27154-44-5,Gamma-hexachloro-cyclohexane,Benzene hexachloride-alpha-isomer,benzene hexachloride-alpha-isomer
27154-44-5,Gamma-hexachloro-cyclohexane,"Hexachlorocyclohexane, gamma-isomer","hexachlorocyclohexane, gamma-isomer"
27154-44-5,Gamma-hexachloro-cyclohexane,"Benzene Hexachloride, gamma","benzene hexachloride, gamma"
27154-44-5,Gamma-hexachloro-cyclohexane,.beta.-Hexachlorocyclohexane,.beta.-hexachlorocyclohexane
27154-44-5,Gamma-hexachloro-cyclohexane,119911-69-2,119911-69-2
27154-44-5,Gamma-hexachloro-cyclohexane,"Hexachlorocyclohexane, technical grade","hexachlorocyclohexane, technical grade"
27154-44-5,Gamma-hexachloro-cyclohexane,.alpha.-Hexachlorocyclohexane,.alpha.-hexachlorocyclohexane
27154-44-5,Gamma-hexachloro-cyclohexane,.alpha.-Hexachloran,.alpha.-hexachloran
27154-44-5,Gamma-hexachloro-cyclohexane,.alpha.-HCH,.alpha.-hch
27154-44-5,Gamma-hexachloro-cyclohexane,.delta.-HCH,.delta.-hch
27154-44-5,Gamma-hexachloro-cyclohexane,.alpha.-Hexachlorane,.alpha.-hexachlorane
27154-44-5,Gamma-hexachloro-cyclohexane,BBH,bbh
27154-44-5,Gamma-hexachloro-cyclohexane,Benzene hexachloride (Ambiguous),benzene hexachloride (ambiguous)
27154-44-5,Gamma-hexachloro-cyclohexane,"1a,2a,3b,4a,5b,6b-Hexachlorocyclohexane","1a,2a,3b,4a,5b,6b-hexachlorocyclohexane"
27154-44-5,Gamma-hexachloro-cyclohexane,Benzene hexachloride gamma,benzene hexachloride gamma
27154-44-5,Gamma-hexachloro-cyclohexane,59NEE7PCAB,59nee7pcab
27154-44-5,Gamma-hexachloro-cyclohexane,YM80ODM9PD,ym80odm9pd
27154-44-5,Gamma-hexachloro-cyclohexane,NSC-755895,nsc-755895
27154-44-5,Gamma-hexachloro-cyclohexane,.alpha.-Hexachlorcyclohexane,.alpha.-hexachlorcyclohexane
27154-44-5,Gamma-hexachloro-cyclohexane,epsilon-Hexachlorocyclohexane,epsilon-hexachlorocyclohexane
27154-44-5,Gamma-hexachloro-cyclohexane,.delta.-Benzene hexachloride,.delta.-benzene hexachloride
27154-44-5,Gamma-hexachloro-cyclohexane,88RHN9KHN8,88rhn9khn8
27154-44-5,Gamma-hexachloro-cyclohexane,IVM9A2N49K,ivm9a2n49k
27154-44-5,Gamma-hexachloro-cyclohexane,"(1alpha,2beta,3alpha,4beta,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane","(1alpha,2beta,3alpha,4beta,5alpha,6beta)-1,2,3,4,5,6-hexachlorocyclohexane"
27154-44-5,Gamma-hexachloro-cyclohexane,YV2D256Z3N,yv2d256z3n
27154-44-5,Gamma-hexachloro-cyclohexane,Hexapoudre,hexapoudre
27154-44-5,Gamma-hexachloro-cyclohexane,Benzanex,benzanex
27154-44-5,Gamma-hexachloro-cyclohexane,DTXSID2020684,dtxsid2020684
27154-44-5,Gamma-hexachloro-cyclohexane,DTXSID2020686,dtxsid2020686
27154-44-5,Gamma-hexachloro-cyclohexane,DTXSID5024134,dtxsid5024134
27154-44-5,Gamma-hexachloro-cyclohexane,DTXSID7020685,dtxsid7020685
27154-44-5,Gamma-hexachloro-cyclohexane,Gamacide,gamacide
27154-44-5,Gamma-hexachloro-cyclohexane,Hexablanc,hexablanc
27154-44-5,Gamma-hexachloro-cyclohexane,Hexachlor,hexachlor
27154-44-5,Gamma-hexachloro-cyclohexane,Hexamul,hexamul
27154-44-5,Gamma-hexachloro-cyclohexane,Hexcidum,hexcidum
27154-44-5,Gamma-hexachloro-cyclohexane,"(1R,2R,3R,4R,5S,6S)-1,2,3,4,5,6-hexachlorocyclohexane","(1r,2r,3r,4r,5s,6s)-1,2,3,4,5,6-hexachlorocyclohexane"
27154-44-5,Gamma-hexachloro-cyclohexane,CHEBI:28428,chebi:28428
27154-44-5,Gamma-hexachloro-cyclohexane,CHEBI:32888,chebi:32888
27154-44-5,Gamma-hexachloro-cyclohexane,CHEBI:39095,chebi:39095
27154-44-5,Gamma-hexachloro-cyclohexane,CHEBI:39096,chebi:39096
27154-44-5,Gamma-hexachloro-cyclohexane,Dolmix,dolmix
27154-44-5,Gamma-hexachloro-cyclohexane,Gamtox,gamtox
27154-44-5,Gamma-hexachloro-cyclohexane,Isatox,isatox
27154-44-5,Gamma-hexachloro-cyclohexane,Submar,submar
27154-44-5,Gamma-hexachloro-cyclohexane,Gyben,gyben
27154-44-5,Gamma-hexachloro-cyclohexane,Arcotal S,arcotal s
27154-44-5,Gamma-hexachloro-cyclohexane,Trives-T,trives-t
27154-44-5,Gamma-hexachloro-cyclohexane,gamma BHC,gamma bhc
27154-44-5,Gamma-hexachloro-cyclohexane,HCH-.delta.,hch-.delta.
27154-44-5,Gamma-hexachloro-cyclohexane,Lacco HI lin,lacco hi lin
27154-44-5,Gamma-hexachloro-cyclohexane,"EPSILON-1,2,3,4,5,6-HEXACHLOROCYCLOHEXANE","epsilon-1,2,3,4,5,6-hexachlorocyclohexane"
27154-44-5,Gamma-hexachloro-cyclohexane,MFCD00135947,mfcd00135947
27154-44-5,Gamma-hexachloro-cyclohexane,NSC-11808,nsc-11808
27154-44-5,Gamma-hexachloro-cyclohexane,"Cyclohexane, 1,2,3,4,5,6-hexachloro-, (1.alpha.,2.alpha.,3.alpha.,4.beta.,5.alpha.,6.beta.)-","cyclohexane, 1,2,3,4,5,6-hexachloro-, (1.alpha.,2.alpha.,3.alpha.,4.beta.,5.alpha.,6.beta.)-"
27154-44-5,Gamma-hexachloro-cyclohexane,"Cyclohexane, 1,2,3,4,5,6-hexachloro-, (1.alpha.,2.alpha.,3.beta.,4.alpha.,5.alpha.,6.beta.)-","cyclohexane, 1,2,3,4,5,6-hexachloro-, (1.alpha.,2.alpha.,3.beta.,4.alpha.,5.alpha.,6.beta.)-"
27154-44-5,Gamma-hexachloro-cyclohexane,"Cyclohexane, 1,2,3,4,5,6-hexachloro-, (1.alpha.,2.alpha.,3.beta.,4.alpha.,5.beta.,6.beta.)-","cyclohexane, 1,2,3,4,5,6-hexachloro-, (1.alpha.,2.alpha.,3.beta.,4.alpha.,5.beta.,6.beta.)-"
27154-44-5,Gamma-hexachloro-cyclohexane,BHC-.delta. isomer,bhc-.delta. isomer
27154-44-5,Gamma-hexachloro-cyclohexane,Gamacide 20,gamacide 20
27154-44-5,Gamma-hexachloro-cyclohexane,"BHC, .delta.","bhc, .delta."
27154-44-5,Gamma-hexachloro-cyclohexane,hecoltox,hecoltox
27154-44-5,Gamma-hexachloro-cyclohexane,epsilon-HCH 100 microg/mL in Methanol,epsilon-hch 100 microg/ml in methanol
27154-44-5,Gamma-hexachloro-cyclohexane,NCGC00094546-04,ncgc00094546-04
27154-44-5,Gamma-hexachloro-cyclohexane,Ameisenatod,ameisenatod
27154-44-5,Gamma-hexachloro-cyclohexane,Benhexachlor,benhexachlor
27154-44-5,Gamma-hexachloro-cyclohexane,Gammahexane,gammahexane
27154-44-5,Gamma-hexachloro-cyclohexane,"(1r,2r,3r,4r,5r,6r)-1,2,3,4,5,6-hexachlorocyclohexane","(1r,2r,3r,4r,5r,6r)-1,2,3,4,5,6-hexachlorocyclohexane"
27154-44-5,Gamma-hexachloro-cyclohexane,Aphtitria,aphtitria
27154-44-5,Gamma-hexachloro-cyclohexane,epsilon-HCH 10 microg/mL in Cyclohexane,epsilon-hch 10 microg/ml in cyclohexane
27154-44-5,Gamma-hexachloro-cyclohexane,Exagama,exagama
27154-44-5,Gamma-hexachloro-cyclohexane,Gammahexa,gammahexa
27154-44-5,Gamma-hexachloro-cyclohexane,Gammopaz,gammopaz
27154-44-5,Gamma-hexachloro-cyclohexane,Lindalo,lindalo
27154-44-5,Gamma-hexachloro-cyclohexane,Lindamul,lindamul
27154-44-5,Gamma-hexachloro-cyclohexane,Lindaterra,lindaterra
27154-44-5,Gamma-hexachloro-cyclohexane,Novigan,novigan
27154-44-5,Gamma-hexachloro-cyclohexane,Benzex,benzex
27154-44-5,Gamma-hexachloro-cyclohexane,Forlin,forlin
27154-44-5,Gamma-hexachloro-cyclohexane,Gammex,gammex
27154-44-5,Gamma-hexachloro-cyclohexane,"(1r,2R,3S,4r,5R,6S)-1,2,3,4,5,6-hexachlorocyclohexane","(1r,2r,3s,4r,5r,6s)-1,2,3,4,5,6-hexachlorocyclohexane"
27154-44-5,Gamma-hexachloro-cyclohexane,"(1r,2R,3S,4s,5R,6S)-1,2,3,4,5,6-hexachlorocyclohexane","(1r,2r,3s,4s,5r,6s)-1,2,3,4,5,6-hexachlorocyclohexane"
27154-44-5,Gamma-hexachloro-cyclohexane,"1alpha,2alpha,3beta,4alpha,5alpha,6beta-Hexachlorocyclohexane","1alpha,2alpha,3beta,4alpha,5alpha,6beta-hexachlorocyclohexane"
27154-44-5,Gamma-hexachloro-cyclohexane,"delta-1,2,3,4,5,6-Hexachlorocyclohexane","delta-1,2,3,4,5,6-hexachlorocyclohexane"
27154-44-5,Gamma-hexachloro-cyclohexane,epsilon-HCH 100 microg/mL in Cyclohexane,epsilon-hch 100 microg/ml in cyclohexane
27154-44-5,Gamma-hexachloro-cyclohexane,Fenoform forte,fenoform forte
27154-44-5,Gamma-hexachloro-cyclohexane,"trans-1,2,3,4,5,6-hexachlorocyclohexane","trans-1,2,3,4,5,6-hexachlorocyclohexane"
27154-44-5,Gamma-hexachloro-cyclohexane,nexen-fb,nexen-fb
27154-44-5,Gamma-hexachloro-cyclohexane,beta-Hexachloran,beta-hexachloran
27154-44-5,Gamma-hexachloro-cyclohexane,Borer Spray,borer spray
27154-44-5,Gamma-hexachloro-cyclohexane,".alpha.-1,2,3,4,5,6-Hexachlorocyclohexane",".alpha.-1,2,3,4,5,6-hexachlorocyclohexane"
27154-44-5,Gamma-hexachloro-cyclohexane,alpha-Hexachloran,alpha-hexachloran
27154-44-5,Gamma-hexachloro-cyclohexane,alpha-Benzenehexachloride,alpha-benzenehexachloride
27154-44-5,Gamma-hexachloro-cyclohexane,"(1alpha,2alpha,3alpha,4beta,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane","(1alpha,2alpha,3alpha,4beta,5alpha,6beta)-1,2,3,4,5,6-hexachlorocyclohexane"
27154-44-5,Gamma-hexachloro-cyclohexane,"(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-hexachlorocyclohexane","(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-hexachlorocyclohexane"
27154-44-5,Gamma-hexachloro-cyclohexane,Agrocide 2,agrocide 2
27154-44-5,Gamma-hexachloro-cyclohexane,Kwell-R,kwell-r
27154-44-5,Gamma-hexachloro-cyclohexane,BHC (insecticide),bhc (insecticide)
27154-44-5,Gamma-hexachloro-cyclohexane,HCH [BSI],hch [bsi]
27154-44-5,Gamma-hexachloro-cyclohexane,HCH [ISO],hch [iso]
27154-44-5,Gamma-hexachloro-cyclohexane,"Cyclohexane, 1,2,3,4,5,6-hexachloro-, .alpha.-","cyclohexane, 1,2,3,4,5,6-hexachloro-, .alpha.-"
27154-44-5,Gamma-hexachloro-cyclohexane,"Cyclohexane, 1,2,3,4,5,6-hexachloro-, .beta.-","cyclohexane, 1,2,3,4,5,6-hexachloro-, .beta.-"
27154-44-5,Gamma-hexachloro-cyclohexane,"Cyclohexane, 1,2,3,4,5,6-hexachloro-, .delta.-","cyclohexane, 1,2,3,4,5,6-hexachloro-, .delta.-"
27154-44-5,Gamma-hexachloro-cyclohexane,Gamma-mean 400,gamma-mean 400
27154-44-5,Gamma-hexachloro-cyclohexane,Agrisol G-20,agrisol g-20
27154-44-5,Gamma-hexachloro-cyclohexane,beta-Hexachlorobenzene,beta-hexachlorobenzene
27154-44-5,Gamma-hexachloro-cyclohexane,BHC or HCH,bhc or hch
27154-44-5,Gamma-hexachloro-cyclohexane,t-HCH,t-hch
27154-44-5,Gamma-hexachloro-cyclohexane,Caswell No. 079,caswell no. 079
27154-44-5,Gamma-hexachloro-cyclohexane,Caswell No. 527,caswell no. 527
27154-44-5,Gamma-hexachloro-cyclohexane,gamma-Benzohexachloride,gamma-benzohexachloride
27154-44-5,Gamma-hexachloro-cyclohexane,"Cyclohexane, 1,2,3,4,5,6-hexachloro-, .gamma.-isomer","cyclohexane, 1,2,3,4,5,6-hexachloro-, .gamma.-isomer"
27154-44-5,Gamma-hexachloro-cyclohexane,DTXCID20196535,dtxcid20196535
27154-44-5,Gamma-hexachloro-cyclohexane,DTXCID40196532,dtxcid40196532
27154-44-5,Gamma-hexachloro-cyclohexane,"(1r,2c,3t,4c,5c,6t)-1,2,3,4,5,6-hexachlorocyclohexane","(1r,2c,3t,4c,5c,6t)-1,2,3,4,5,6-hexachlorocyclohexane"
27154-44-5,Gamma-hexachloro-cyclohexane,"(1r,2t,3c,4t,5c,6t)-1,2,3,4,5,6-hexachlorocyclohexane","(1r,2t,3c,4t,5c,6t)-1,2,3,4,5,6-hexachlorocyclohexane"
27154-44-5,Gamma-hexachloro-cyclohexane,"1alpha,2alpha,3beta,4alpha,5beta,6beta-Hexachlorocyclohexane","1alpha,2alpha,3beta,4alpha,5beta,6beta-hexachlorocyclohexane"
27154-44-5,Gamma-hexachloro-cyclohexane,gamma hexachlor,gamma hexachlor
27154-44-5,Gamma-hexachloro-cyclohexane,Lindanum [INN-Latin],lindanum [inn-latin]
27154-44-5,Gamma-hexachloro-cyclohexane,delta-Benzenehexachloride,delta-benzenehexachloride
27154-44-5,Gamma-hexachloro-cyclohexane,gamma-Benzenehexachloride,gamma-benzenehexachloride
27154-44-5,Gamma-hexachloro-cyclohexane,Atlas steward,atlas steward
