variable_name,analyte_name,normalized_name,candidate_cdc_name,candidate_class,candidate_subclass,similarity_score
URXMET,Metolachlor mercapturate,metolachlor mercapturate,,,,0.000
URXMMI,Methamidaphos,methamidaphos,,,,0.000
URXMSM,Mesosulfuron methyl,mesosulfuron methyl,,,,0.000
URXMTM,Metsulfuron methyl,metsulfuron methyl,,,,0.000
URXMTO,Dimethoate,dimethoate,,,,0.000
URXNOS,Nicosulfuron,nicosulfuron,,,,0.000
URXOMO,O-methoate,o-methoate,,,,0.000
URXOP1,Dimethylphosphate,dimethylphosphate,dimethylphosphate,Organophosphate metabolite,DAP,1.000
URX3PBA,3-PBA,3-pba,3-pba,Pyrethroid metabolite,Common metabolite,1.000
URXDMP,DMP,dmp,,,,0.000
URXOP2,Diethylphosphate,diethylphosphate,diethylphosphate,Organophosphate metabolite,DAP,1.000
URXOP3,Dimethylthiophosphate,dimethylthiophosphate,dimethylthiophosphate,Organophosphate metabolite,DAP,1.000
URXOP4,Diethylthiophosphate,diethylthiophosphate,diethylthiophosphate,Organophosphate metabolite,DAP,1.000
URXOP5,Dimethyldithiophosphate,dimethyldithiophosphate,dimethyldithiophosphate,Organophosphate metabolite,DAP,1.000
URXOP6,Diethyldithiophosphate,diethyldithiophosphate,diethyldithiophosphate,Organophosphate metabolite,DAP,1.000
URXOPM,3-phenoxybenzoic acid,3-phenoxybenzoic acid,3-phenoxybenzoic acid,Pyrethroid metabolite,Common metabolite,1.000
URXOPP,O-Phenyl phenol,o-phenyl phenol,,,,0.000
URXOXS,Oxasulfuron,oxasulfuron,,,,0.000
URXPAR,Paranitrophenol,paranitrophenol,,,,0.000
URXPCP,Pentachlorophenol,pentachlorophenol,,,,0.000
URXPIM,Primisulfuron methyl,primisulfuron methyl,,,,0.000
URXPPX,2-isopropoxyphenol,2-isopropoxyphenol,,,,0.000
URXPRO,Prosulfuron,prosulfuron,,,,0.000
URXPTU,Propylenethio urea,propylenethio urea,,,,0.000
URXRIM,Rimsulfuron,rimsulfuron,,,,0.000
URXSMM,Sulfometuron methyl,sulfometuron methyl,,,,0.000
URXSSF,Sulfosulfuron,sulfosulfuron,,,,0.000
URXTCC,"trans-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid","trans-3-2,2-dichlorovinyl-2,2-dimethylcyclopropane carboxylic acid",3-phenoxybenzoic acid,Pyrethroid metabolite,Common metabolite,0.250
URXTHF,Thifensulfuron methyl,thifensulfuron methyl,,,,0.000
URXTRA,Triasulfuron,triasulfuron,,,,0.000
URXTRN,Triflusulfuron methyl,triflusulfuron methyl,,,,0.000
